k;Avg Maxflow;Aug paths;Time
4;18;9;0.997
4;13;11;0
4;18;11;0
4;17;9;0
4;8;7;0
4;11;8;0
4;17;9;0
4;17;10;0
4;22;14;0
4;25;9;0
4;5;4;0
4;17;12;0
4;14;10;0
4;6;4;0
4;17;11;0
4;17;10;0
4;6;5;0
4;15;10;0
4;15;8;0
4;10;9;0
4;18;8;0
4;21;11;0
4;15;8;0
4;17;9;0
4;12;9;0
4;9;8;0
4;15;12;0
4;8;7;0
4;13;7;0
4;23;11;0
4;17;11;0
4;11;9;0
4;6;5;0
4;10;8;0
4;11;8;0
4;7;5;0
4;12;8;0
4;17;8;0.98
4;10;9;0
4;23;12;0
4;11;8;0
4;22;9;0
4;14;8;0
4;14;4;0
4;16;9;0
4;15;11;0
4;13;7;0
4;15;8;0
4;11;11;0.997
4;11;9;0
4;22;12;0
4;28;12;0
4;6;6;0
4;13;7;0
4;12;9;0
5;32;20;0
5;68;30;0
5;42;25;0.989
5;15;12;0
5;32;19;0
5;30;18;0
5;32;19;0
5;29;22;0.974
5;28;18;0
5;12;11;0
5;35;21;0
5;42;23;0
5;34;21;0.997
5;31;14;0
5;16;10;0
5;28;16;0
5;29;23;1.027
5;24;17;0
5;56;31;0
5;34;22;0
5;18;6;1.024
5;25;15;0
5;27;16;0
5;41;24;0
5;10;7;0.942
5;17;14;0
5;40;17;0
5;48;25;0
5;27;18;0.997
5;26;15;0
5;16;11;0
5;25;13;0
5;26;15;0
5;36;23;1.026
5;14;10;0
5;28;14;0
5;19;16;0
5;32;18;0
5;30;15;0
5;38;20;0.997
5;31;17;0
5;22;16;0
5;46;27;1.001
5;29;19;0
5;21;14;0
5;50;22;1
5;36;22;0
5;22;13;0
5;32;17;0
5;35;19;0
5;26;19;0.961
5;32;21;0
5;15;11;0
5;42;24;0
5;27;10;0.999
5;22;13;0
5;56;23;0
5;31;20;0
5;28;18;0
5;14;12;1.02
5;15;13;0
5;31;16;0
5;28;15;0
5;41;22;0
5;37;26;0.998
5;32;19;0
5;29;14;0
5;31;24;0
5;28;21;0
5;34;22;0.999
5;26;13;0
5;39;28;0
5;17;11;0
5;31;19;1.003
5;30;16;0
5;19;12;0
5;54;25;0
5;52;27;0.999
5;37;20;0
5;43;24;0
5;11;6;0
5;16;13;0
5;29;21;1.002
5;28;17;0
5;43;26;0
5;33;16;0
5;37;18;0.96
5;28;16;0
5;44;22;0
5;18;12;0.998
5;30;18;0
5;46;28;0
5;33;19;0
5;38;27;1.025
5;19;16;0
5;51;19;0
5;28;14;0
5;35;27;0
5;35;25;1
5;40;22;0
6;84;49;0.995
6;99;51;0.998
6;40;24;0.998
6;92;38;0
6;80;52;1.019
6;81;46;0.975
6;51;21;0
6;117;61;0.997
6;78;39;1
6;40;26;1.012
6;60;37;0.986
6;59;32;0
6;100;48;0.997
6;51;24;0.998
6;97;37;0
6;102;52;0.991
6;82;42;0.997
6;90;40;0.969
6;57;32;0.999
6;117;54;1.045
6;68;35;0.998
6;133;56;0
6;74;32;0.996
6;88;38;0
6;51;27;0.999
6;29;15;0
6;52;25;1.003
6;46;31;0
6;72;41;0.99
6;84;45;0.999
6;33;21;0
6;113;48;0.998
6;102;43;0.995
6;90;49;0.949
6;106;49;0.996
6;78;51;0
6;54;31;1.042
6;88;54;0.998
6;103;51;0.985
6;60;35;0.966
6;26;11;0
6;57;35;1
6;54;33;0
6;52;17;1.044
6;74;41;0
6;57;36;0.997
6;69;39;0.997
6;35;16;0
6;63;38;0
6;64;39;1.003
6;70;32;0.993
6;117;55;0
6;71;39;0.996
6;37;20;0
6;81;54;0.998
6;52;35;0.998
6;59;32;0
6;33;21;0.996
6;68;29;0
6;75;40;0.998
6;56;34;0
6;48;27;1
6;81;44;0
6;68;37;0.995
6;73;39;0.998
6;83;36;0
6;68;27;0.995
6;24;14;0
6;82;41;0.999
6;53;29;0
6;56;33;0.946
6;69;39;0
6;24;15;1.048
6;56;38;0
6;56;31;0.987
6;43;23;0
6;75;35;1.007
6;90;50;0
6;128;57;1.954
6;47;26;0
6;81;41;0.988
6;63;28;0
6;86;39;1.041
6;75;35;0.998
6;67;27;0
6;43;25;0.997
6;57;36;0
6;30;22;0.997
6;62;33;0
6;98;48;0.998
6;72;42;0
6;48;32;0.998
6;73;38;0.952
6;82;35;0
6;32;20;0
6;65;32;1.053
6;58;27;0.993
6;61;41;0
6;70;49;1.062
6;32;25;0.98
7;155;84;2.992
7;211;95;2.001
7;99;46;1.995
7;147;68;1.995
7;131;69;1.994
7;92;44;1.994
7;77;34;0.998
7;26;14;0
7;31;24;0.997
7;101;52;1.996
7;204;105;2.991
7;131;67;1.995
7;58;34;1.956
7;154;84;3.024
7;178;90;2.001
7;26;20;0.998
7;97;49;1.997
7;229;105;2.992
7;159;90;1.992
7;112;62;1.995
7;102;47;1.994
7;55;36;0.998
7;98;59;1.994
7;55;30;0.997
7;162;80;2.993
7;119;47;1
7;52;32;1.942
7;201;79;3.988
7;129;64;3.109
7;58;35;0.932
7;30;21;0.991
7;75;38;0.996
7;79;38;0.998
7;122;65;1.995
7;143;76;2.958
7;147;88;3.037
7;195;83;2.987
7;104;44;1.002
7;154;68;1.991
7;148;64;1.994
7;74;37;0.997
7;173;89;2.992
7;52;33;1.961
7;182;100;3.562
7;77;36;2.016
7;73;38;1.002
7;146;70;2.985
7;73;41;1.005
7;95;50;0.992
7;111;71;2
7;227;122;3.599
7;129;56;1.995
7;192;86;2.991
7;50;30;0.998
7;80;34;0.998
7;150;84;1.994
7;94;51;2.001
7;104;59;1.938
7;47;32;2.023
7;90;46;1.02
7;38;24;0
7;91;48;1.995
7;148;66;1.999
7;125;56;1.995
7;208;105;2.967
7;131;67;2.014
7;51;31;1.995
7;95;51;1.948
7;82;48;1.044
7;141;84;2.991
7;102;54;0.999
7;212;87;2.941
7;58;34;1.052
7;102;48;1.991
7;99;41;0.977
7;145;66;2.016
7;97;49;1.95
7;230;117;4.032
7;112;64;2.972
7;221;106;2.963
7;129;55;4.015
7;139;71;2.968
7;137;75;3.027
7;212;113;3.978
7;171;88;1.996
7;58;28;0.996
7;82;42;1.002
7;188;101;3.993
7;141;72;1.961
7;120;61;3.028
7;125;70;2.008
7;184;90;2.997
7;119;59;1.994
7;100;47;0.993
7;275;114;2.992
7;138;77;2.556
7;71;39;0.998
7;220;112;3.939
7;150;85;3.035
7;67;41;0.998
8;136;71;4.04
8;361;142;8.976
8;302;153;8.925
8;418;197;13.011
8;410;141;7.984
8;494;155;8.976
8;448;180;11.938
8;367;148;7.958
8;301;118;6.973
8;157;76;3.998
8;277;115;6.982
8;608;221;13.928
8;119;64;4.024
8;402;131;7.977
8;185;80;5.031
8;518;218;12.923
8;332;147;8.971
8;161;72;4.991
8;76;32;2.957
8;426;177;10.008
8;351;143;8.97
8;375;158;9.995
8;298;101;5.938
8;208;104;7.006
8;146;76;5.617
8;292;116;7.002
8;138;82;5.961
8;128;55;3.991
8;282;137;8.974
8;133;59;3.99
8;490;202;12.966
8;485;197;12.914
8;148;90;5.038
8;259;102;6.986
8;136;62;3.948
8;490;201;11.96
8;474;184;12.013
8;398;160;9.923
8;464;193;12.017
8;207;93;5.985
8;391;180;10.975
8;159;69;4.983
8;207;91;5.932
8;272;105;7.016
8;165;68;4.989
8;174;89;4.989
8;158;76;4.989
8;212;98;6.964
8;456;180;10.982
8;172;66;3.989
8;571;221;12.966
8;240;73;4.955
8;147;55;4.013
8;282;116;8.964
8;675;305;20.965
8;469;207;11.981
8;199;77;5.971
8;110;54;3.983
8;401;155;9.994
8;55;28;1.995
8;264;128;6.981
8;368;179;10.969
8;261;105;6.932
8;580;227;13.015
8;417;140;8.925
8;261;124;8.03
8;164;88;4.973
8;104;46;3.952
8;48;30;2.029
8;400;189;10.972
8;290;138;9.971
8;264;101;6.022
8;188;96;5.982
8;124;73;3.992
8;94;49;2.989
8;208;100;5.983
8;364;191;10.971
8;239;90;5.983
8;122;59;2.994
8;170;84;4.988
8;435;219;12.93
8;467;215;12.002
8;147;55;3.994
8;344;152;8.972
8;276;113;6.973
8;423;180;9.981
8;226;124;7.985
8;232;93;5.943
8;335;152;12.965
8;149;68;4.986
8;35;20;0.998
8;220;72;4.986
8;178;74;6.982
8;128;62;4.988
8;191;90;6.988
8;481;178;11.96
8;474;176;12.965
8;438;168;15.958
8;348;139;8.979
8;230;107;7.977
9;403;155;21.944
9;553;211;27.921
9;1060;405;55.851
9;473;183;26.928
9;241;114;16.995
9;821;266;52.856
9;513;196;25.923
9;539;234;31.921
9;317;144;18.521
9;578;218;27.949
9;535;198;25.924
9;386;165;21.942
9;207;93;12.966
9;363;137;19.941
9;436;185;26.931
9;390;157;22.955
9;555;211;29.024
9;593;233;30.928
9;391;169;21.051
9;460;172;22.988
9;627;242;29.98
9;900;289;36.042
9;978;421;55.936
9;415;147;18.952
9;1061;360;46.98
9;559;200;26.042
9;166;82;11.025
9;1205;480;66.673
9;562;231;30.917
9;374;157;20.943
9;411;170;23.936
9;1116;371;49.867
9;186;90;12.943
9;590;281;35.91
9;653;230;30.934
9;347;142;20.937
9;804;313;43.942
9;45;33;5.982
9;591;206;28.069
9;944;328;47.929
9;1045;340;42.939
9;482;193;24.941
9;349;133;19.951
9;584;230;27.924
9;752;284;35.904
9;506;228;28.923
9;645;272;33.909
9;461;192;24.933
9;858;291;36.902
9;443;178;21.941
9;795;286;34.907
9;414;164;20.944
9;178;94;11.968
9;973;383;48.869
9;572;225;27.926
9;442;158;19.946
9;948;323;40.891
9;1131;501;64.827
9;443;161;20.944
9;411;178;21.941
9;552;199;29.921
9;973;329;43.882
9;674;251;34.908
9;526;198;26.927
9;982;320;40.89
9;1021;399;48.87
9;691;274;34.906
9;446;204;24.934
9;981;384;48.869
9;415;162;19.947
9;319;131;19.952
9;970;385;52.862
9;522;178;23.936
9;1043;374;45.95
9;491;195;26.999
9;490;197;23.845
9;838;306;41.449
9;653;221;27.936
9;218;109;13.966
9;747;271;33.927
9;574;251;32.925
9;331;146;20.954
9;564;184;27.991
9;881;308;38.904
9;593;200;25.057
9;784;258;33.064
9;814;298;38.911
9;498;199;28.091
9;594;241;30.979
9;809;295;35.915
9;350;151;19.026
9;345;155;18.957
9;488;164;20.026
9;826;305;37.056
9;970;359;47.997
9;809;309;38.955
9;1002;322;39.059
9;850;312;38.001
9;390;158;19.954
9;316;134;16.962
10;1985;553;157.937
10;2553;752;211.253
10;1301;434;128.057
10;1006;320;92.009
10;1244;428;121.986
10;648;198;57.009
10;1029;323;90.91
10;1240;340;97.146
10;1357;400;110.817
10;730;251;74.934
10;1316;426;117.931
10;1623;467;129.969
10;2466;687;193.302
10;746;289;81.731
10;764;245;69.913
10;708;250;71.102
10;993;287;83.039
10;1123;357;105.801
10;1590;545;162.461
10;741;249;72.014
10;1540;449;124.587
10;1991;598;171.29
10;1455;444;127.069
10;938;302;79.9
10;1636;475;126.105
10;2087;609;167.936
10;1326;530;162.133
10;781;263;84.725
10;1218;396;128.704
10;147;41;14.91
10;1294;442;124.723
10;813;277;77.947
10;946;332;97.827
10;967;285;75.797
10;1428;460;127.659
10;1734;519;139.627
10;864;307;95.746
10;834;264;75.796
10;609;217;61.341
10;586;225;61.835
10;1045;369;98.736
10;1260;392;115.798
10;517;202;66.855
10;1336;422;139.627
10;220;75;25.93
10;2027;532;179.551
10;384;162;48.449
10;1246;409;125.685
10;951;274;77.822
10;1255;358;103.629
10;1084;324;89.76
10;665;206;56.912
10;1426;452;124.3
10;550;193;53.851
10;1319;429;119.834
10;1165;329;94.934
10;1056;312;91.063
10;799;281;84.49
10;687;223;75.824
10;1227;450;133.687
10;359;149;43.938
10;1455;423;122.728
10;958;293;79.115
10;1395;480;137.093
10;802;284;78.946
10;893;339;94.929
10;964;322;95.262
10;905;335;95.745
10;700;229;67.938
10;561;186;58.184
10;1392;454;124.247
10;1104;336;92.758
10;1279;400;113.759
10;817;233;62.976
10;778;240;65.891
10;541;206;57.866
10;1215;377;106.756
10;2591;701;188.502
10;1814;606;177.527
10;1413;401;110.735
10;943;285;75.926
10;1110;328;87.978
10;559;218;57.955
10;1137;380;104.468
10;138;68;19.998
10;1220;420;111.702
10;1257;369;97.523
10;410;131;35.904
10;1614;489;128.622
10;1218;362;96.065
10;2639;815;229.936
10;526;190;51.039
10;1429;488;130.218
10;477;166;48.912
10;1168;369;128.599
10;205;76;25.915
10;956;335;100.698
10;1401;467;173.093
10;274;94;32.432
10;1306;447;187.082
11;4938;1388;1126.17
11;2360;575;392.007
11;2992;825;543.533
11;1922;655;381.885
11;3416;1085;681.712
11;2326;663;385.723
11;2700;719;435.945
11;1494;417;245.206
11;1743;509;297.659
11;1200;378;218.967
11;2209;590;345.994
11;3000;829;500.648
11;578;170;105.718
11;814;245;145.61
11;3557;900;514.258
11;3726;1109;691.185
11;3171;860;578.45
11;2576;701;443.403
11;1214;323;221.639
11;2476;732;483.783
11;3125;883;606.649
11;2357;710;415.047
11;1634;446;257.315
11;3771;931;547.706
11;1880;536;305.84
11;2797;717;420.86
11;4371;1071;614.479
11;2830;947;549.546
11;958;249;144.885
11;3554;990;565.196
11;1775;523;303.95
11;3358;907;523.123
11;3099;900;523.834
11;3346;854;489.951
11;3199;843;497.065
11;1381;426;258.904
11;2604;748;589.532
11;1838;551;372.88
11;657;219;163.592
11;2546;686;501.343
11;1874;574;363.126
11;1741;554;337.666
11;3049;839;527.039
11;2432;644;397.829
11;1135;316;243.373
11;1960;519;374.001
11;1504;354;264.291
11;1207;382;287.757
11;3211;966;620.078
11;1906;555;343.723
11;2148;649;404.988
11;2964;938;558.705
11;1603;488;317.185
11;2273;697;427.121
11;241;110;69.955
11;1198;355;218.598
11;3528;907;553.071
