k;Avg Maxflow;Aug paths;Time
1;2;1;0
2;4;2;0
3;8;5;0.998
4;12;7;0
5;44;26;0
6;50;26;0.982
7;79;49;1.995
8;464;185;10.97
9;184;73;10.971
10;368;142;48.87
11;1156;332;186.025
12;2673;566;632.593
13;9857;1907;4326.4
14;6063;982;5341.04
15;31905;4319;50635.8
16;52409;5656;167998
